NRC,Materia,Días,Hora_ini ,Hora_fin,Profesor,Salón
40620,Calculo III,A,02:00 p. m.,03:59 p. m.,TEPALE - OCHOA NANCY,1FIQ7/206
40620,Calculo III,J,02:00 p. m.,03:59 p. m.,TEPALE - OCHOA NANCY,1FIQ7/206
40620,Calculo III,L,02:00 p. m.,04:59 p. m.,TEPALE - OCHOA NANCY,1FIQ7/206
40620,Calculo III,M,02:00 p. m.,04:59 p. m.,TEPALE - OCHOA NANCY,1FIQ7/206
40620,Calculo III,V,02:00 p. m.,04:59 p. m.,TEPALE - OCHOA NANCY,1FIQ7/206
41000,Dibujo Tecnico,V,03:00 p. m.,03:59 p. m.,FLORES - OLMOS LUIS MISAEL,1FIQ4/201
41000,Dibujo Tecnico,L,03:00 p. m.,04:59 p. m.,FLORES - OLMOS LUIS MISAEL,1FIQ4/201
41000,Dibujo Tecnico,A,03:00 p. m.,04:59 p. m.,FLORES - OLMOS LUIS MISAEL,1FIQ4/201
41000,Dibujo Tecnico,M,03:00 p. m.,04:59 p. m.,FLORES - OLMOS LUIS MISAEL,1FIQ4/201
41000,Dibujo Tecnico,J,03:00 p. m.,04:59 p. m.,FLORES - OLMOS LUIS MISAEL,1FIQ4/201
40623,Diseno Expe. y Analisis Datos,M,12:00 p. m.,01:59 p. m.,RIVERA - MARQUEZ JOSE ANTONIO,1FIQ4/201
40623,Diseno Expe. y Analisis Datos,J,12:00 p. m.,01:59 p. m.,RIVERA - MARQUEZ JOSE ANTONIO,1FIQ4/201
40623,Diseno Expe. y Analisis Datos,L,12:00 p. m.,02:59 p. m.,RIVERA - MARQUEZ JOSE ANTONIO,1FIQ1/103
40623,Diseno Expe. y Analisis Datos,A,12:00 p. m.,02:59 p. m.,RIVERA - MARQUEZ JOSE ANTONIO,1FIQ1/103
40623,Diseno Expe. y Analisis Datos,V,12:00 p. m.,02:59 p. m.,RIVERA - MARQUEZ JOSE ANTONIO,1FIQ1/103
40655,Diseno Expe. y Analisis Datos,L,11:00 a. m.,12:59 p. m.,PALACIOS - ARIAS JOSE LUCIO,1FIQ4/202
40655,Diseno Expe. y Analisis Datos,A,11:00 a. m.,12:59 p. m.,PALACIOS - ARIAS JOSE LUCIO,1FIQ4/202
40655,Diseno Expe. y Analisis Datos,M,10:00 a. m.,12:59 p. m.,PALACIOS - ARIAS JOSE LUCIO,1FIQ1/102
40655,Diseno Expe. y Analisis Datos,J,10:00 a. m.,12:59 p. m.,PALACIOS - ARIAS JOSE LUCIO,1FIQ1/102
40655,Diseno Expe. y Analisis Datos,V,10:00 a. m.,12:59 p. m.,PALACIOS - ARIAS JOSE LUCIO,1FIQ1/102
40622,Ecuaciones Diferenciales,J,03:00 p. m.,04:59 p. m.,ALVARADO - FLORES MIGUEL,1FIQ1/203
40622,Ecuaciones Diferenciales,V,03:00 p. m.,04:59 p. m.,ALVARADO - FLORES MIGUEL,1FIQ1/203
40622,Ecuaciones Diferenciales,L,03:00 p. m.,05:59 p. m.,ALVARADO - FLORES MIGUEL,1FIQ1/203
40622,Ecuaciones Diferenciales,A,03:00 p. m.,05:59 p. m.,ALVARADO - FLORES MIGUEL,1FIQ1/203
40622,Ecuaciones Diferenciales,M,03:00 p. m.,05:59 p. m.,ALVARADO - FLORES MIGUEL,1FIQ1/203
41008,Energias Alternas,V,04:00 p. m.,07:59 p. m.,CARBAJAL - MARTINEZ GLORIA,1FIQ1/103
41008,Energias Alternas,L,04:00 p. m.,06:59 p. m.,CARBAJAL - MARTINEZ GLORIA,1FIQ1/103
41008,Energias Alternas,A,04:00 p. m.,06:59 p. m.,CARBAJAL - MARTINEZ GLORIA,1FIQ1/103
41008,Energias Alternas,M,04:00 p. m.,06:59 p. m.,CARBAJAL - MARTINEZ GLORIA,1FIQ1/103
41008,Energias Alternas,J,04:00 p. m.,06:59 p. m.,CARBAJAL - MARTINEZ GLORIA,1FIQ1/103
41005,Emprendimiento,,#¡VALOR!,#¡VALOR!,GONZALEZ - LIMON MONTSERRAT,1FIQ1V/
